Component,Quantity,Price (INR),Source
"ESP32 NodeMCU Dev Board (CP2102, 30-Pin)",1,379,Robocraze
Mini DF MP3 Player Module MP3-TF-16P,1,83,Robocraze
TP4056 Battery Charger C Type Module with Protection,1,14,Robocraze
18650 2 Cell Holder,1,20,Robocraze
Slide Switch 3 Pin 2 Way SPDT,1,14,Robocraze
3.7v 2500mah 18650 Li-Ion Battery,2,288,Robocraze
Rotary Encoder Module,2,88,Robocraze
100uF / 25V Electrolytic Capacitor (Pack of 5),1,22,Robocraze
VeroBoard (6x4 Inch),1,53,Robocraze
40x1 Pin 2.54mm Pitch Male Berg Strip,2,14,Robocraze
40x1 Female Berg Strip,2,18,Robocraze
Solder Wire-1 Meter (10gm),1,15,Robocraze
Hook up Wire (black) - 5 meters,1,41,Robocraze
Hook up Wire (red) - 5 meters,1,36,Robocraze
F2F Jumper Wires (20cm) 20pcs,1,29,Robocraze
Male to Female Jumper Wires (20cm) 40pcs,1,39,Robocraze
Speaker (8 Ohm 10W Aluminum Rectangle),1,330,Amazon
